name_track,artist_track,uri_track,popularity,tempo,genres
MALDITA POBREZA,Bad Bunny,spotify:track:0Lsis3LB0XAK6XlTHXaJk2,65,133,"musica chihuahuense, nueva musica mexicana"
ANTES QUE SE ACABE,Bad Bunny,spotify:track:7kjEqI6eZ7YlFrGhxixnlN,72,140,"musica chihuahuense, nueva musica mexicana"
Jangueo,Alex Rose,spotify:track:1bRpSCFv6P2OUhciByeRYR,69,104,"reggaeton, trap latino, urbano latino"
Punto y Aparte,Tego Calderón,spotify:track:388YhDYxPvaDIZQHWqpB4E,70,95,"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino"
Metele Sazón,Tego Calderón,spotify:track:0TGXhbsTJ1LohY8HvmxSvT,55,95,"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino"
Mala,Ozuna,spotify:track:3sNJJNTeeIsvYTnT1Kc7kX,46,94,"puerto rican pop, reggaeton, trap latino, urbano latino"
Verde,J Balvin,spotify:track:3HTbI3yUJQw3fP0Po8qLcD,58,95,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Dominicana,Tego Calderón,spotify:track:45IOnEpVUdxWUZFqpZ7Xvz,65,95,"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino"
"Guasa, Guasa",Tego Calderón,spotify:track:6sfBQReZH9v9tYSs82Xt1O,59,96,"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino"
Dime Tú,Anuel AA,spotify:track:1U8Ta5gcm2xhma1FQS2bKV,58,82,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
Nena Buena,Anuel AA,spotify:track:7m6aTkKrrPHAZ4fGnksoda,52,92,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
Municiones,Anuel AA,spotify:track:2nVOSrxGjCqblT9CKqEMHi,53,94,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
DECIR ADIÓS,Cosculluela,spotify:track:1E9zn2L40omyCoj4vYoOZg,0,168,"latin hip hop, reggaeton, trap latino, urbano latino"
los Disicipulos,Eddie Dee,spotify:track:2vWWy37CDlDlfPipzb4iIX,59,94,puerto rican rock
Primer Dia de Clases,Mora,spotify:track:27gItFPvVMtaKsVyt0wHzf,67,85,alt z
Volando,Mora,spotify:track:4M6xyu1AHnaWAN8lHMNeo0,63,154,alt z
Fin del Mundo,Mora,spotify:track:2CN6tw3g5nToSBcfZn5xBr,59,96,alt z
Desaparecer,Mora,spotify:track:5LlqSCrhvYm97QwfhmY7tc,67,87,alt z
Fiel,Los Legendarios,spotify:track:56KhDgM8O8rHxBI7CIEGCw,61,98,
Baila Conmigo,Linares,spotify:track:4tWoi5LgtpokNrb8xMXcmB,27,180,"banda, musica mexicana, norteno"
Loco,Wisin,spotify:track:2BmZ1347D8aimYIlqHamn3,40,174,"electro latino, reggaeton, trap latino, urbano latino"
Mami,Los Legendarios,spotify:track:2kQvq2nMpB6aeWYubH6CAZ,30,180,
Vamo Allá,Los Legendarios,spotify:track:76jrgwUGL0y9VK2Ugk3qxN,29,97,
Fugitivo,Chris Andrew,spotify:track:1egMfSzSRD65TAc27yeQL6,31,92,
Préndelo,Los Legendarios,spotify:track:2koP2WFh2Gi8jR6KswXGKI,35,180,
Ahora (feat. Angel Doze),Zion & Lennox,spotify:track:6xuCqLILMiXxugbUmuRVJi,51,96,"reggaeton, urbano latino"
XOXA - Premium,Farruko,spotify:track:2K1mqI6DBj5qv83oif1Zj5,46,180,"reggaeton, trap latino, urbano latino"
RD,Anuel AA,spotify:track:3F5OoUJSVVC1f5PwOxcx0N,60,140,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
El Ritmo No Perdona - Bonus Track,Daddy Yankee,spotify:track:0RIKUQ7y8q3XDrErHivJdu,0,92,"latin hip hop, reggaeton, trap latino, urbano latino"
Shaky Shaky - Remix,Daddy Yankee,spotify:track:53QdfEoKCXlEfjgXPmvPjx,47,176,"latin hip hop, reggaeton, trap latino, urbano latino"
Me Fije,Alex Rose,spotify:track:6Et5KimMg3IXwD6lJPGmQw,65,172,"reggaeton, trap latino, urbano latino"
Yo Te Lo Dije,J Balvin,spotify:track:4Qup5wrYCm9I4dJHxmoRJY,62,88,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Ella Entendio,Yandel,spotify:track:50NSK5HiSoT4Lh2pyJ6Pd7,45,94,"latin hip hop, reggaeton, trap latino, urbano latino"
Se Viste y Se Maquilla,Yandel,spotify:track:3nQbhi743RyyBxAE5O9N0s,34,93,"latin hip hop, reggaeton, trap latino, urbano latino"
No Toque Mi Naik,Nicki Nicole,spotify:track:0TBbNYzmtCfN5cpZSCVNIz,54,95,"corrido, nueva musica mexicana, sad sierreno"
Reggaetón Hp,Jowell & Randy,spotify:track:4NetPLl5EFSYO39cY9DGwA,48,100,"reggaeton, trap latino, urbano latino"
WACHA,KHEA,spotify:track:5RmSunLqeDqNWww8LWhAiK,64,95,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino"
