name_track,artist_track,uri_track,popularity,tempo,genres,urlImage,album
Smile,Mikky Ekko,spotify:track:6fs3GbtJ3PCf0uYX2MlmG4,41,100.696,nashville indie,https://i.scdn.co/image/ab67616d0000b2730df655ddb64291e06ec31658,Smile
Satania,Mägo de Oz,spotify:track:30XrHoab9KfxR0S0Ljioaf,50,159.593,"celtic metal, latin rock, medieval rock, rock en espanol, spanish folk metal, spanish metal",https://i.scdn.co/image/ab67616d0000b2733e782d96dc4cbe7950a274a9,Finisterra
Andar Conmigo,Julieta Venegas,spotify:track:05iMQqncVBIm4AE26EvaTL,74,116.994,"latin alternative, latin pop, latin rock, rock en espanol",https://i.scdn.co/image/ab67616d0000b273c0071a27b79e46c09eef7caa,Si
Me Voy,Julieta Venegas,spotify:track:5ZeHfdSULRdlFUw4qErPlJ,49,107.868,"latin alternative, latin pop, latin rock, rock en espanol",https://i.scdn.co/image/ab67616d0000b273541f0f3388e4f3072886a362,Realmente Lo Mejor
Eres para Mí (with Anita Tijoux),"Julieta Venegas, Ana Tijoux",spotify:track:3eQCwENwzFv9xjovaPRerp,51,96.994,"latin alternative, latin pop, latin rock, rock en espanol",https://i.scdn.co/image/ab67616d0000b273541f0f3388e4f3072886a362,Realmente Lo Mejor
Pídeme la Luna,Leo Dan,spotify:track:2iOHPXoWhKXpqSyzW50kri,47,82.499,"bolero, cancion melodica, latin pop, ranchera",https://i.scdn.co/image/ab67616d0000b273560b820e862292dbca9c9404,Mis Favoritas
No Pensé Enamorarme Otra Vez - Bolero,Gilberto Santa Rosa,spotify:track:1uvE0Hn1ZO5fRHWjG7TpXd,44,162.338,"salsa, salsa puertorriquena, tropical",https://i.scdn.co/image/ab67616d0000b2734a29fbbf4f9bb281da12700c,Canciones De Amor
Detalles (Detalhes),Roberto Carlos,spotify:track:4tAwP9QKeLEQJ2fgd1RWcY,65,87.689,"jovem guarda, mpb",https://i.scdn.co/image/ab67616d0000b273d1f69ef137588ce251369165,Un Gato En La Oscuridad
Vamos a Dejarlo Todo Atrás,Ricardo Montaner,spotify:track:2jgWr4gy8H95rAsWRkoHpX,0,163.219,latin pop,https://i.scdn.co/image/ab67616d0000b2736b94c4eb21142015bc038db1,Haciendo Camino
Verte Dormida,Ricardo Montaner,spotify:track:4EN7lz0KaRxlRWnV4IM2SK,36,157.11,latin pop,https://i.scdn.co/image/ab67616d0000b273277d90d852358f70759d1250,Suma
El poder de tu amor,Ricardo Montaner,spotify:track:0ZtcWOJ5uiMxQCTP3RovTz,59,108.595,latin pop,https://i.scdn.co/image/ab67616d0000b2738bd6b0c903003688dcbe191f,Ricardo Montaner Con La London Metropolitan Orchestra
Tan Enamorados - Nina Bonita,Ricardo Montaner,spotify:track:3CWlnTdyribuZ2ZhpxqQSD,0,143.766,latin pop,https://i.scdn.co/image/ab67616d0000b2736b94c4eb21142015bc038db1,Haciendo Camino
La cantata del diablo (Missit me dominus),Mägo de Oz,spotify:track:1LCbqLPZbcsR5vGrDxQMc2,50,148.283,"celtic metal, latin rock, medieval rock, rock en espanol, spanish folk metal, spanish metal",https://i.scdn.co/image/ab67616d0000b273409841a01c3a1f4add30fb3d,Gaia II (Edicion lujo)
Mi Historia Entre Tus Dedos,Gianluca Grignani,spotify:track:3bP3RLXPFnGM4vtiXmmadq,62,157.494,"classic italian pop, italian adult pop, mexican pop",https://i.scdn.co/image/ab67616d0000b273295a625768d54448a78d4d68,The Platinum Collection
Recuerdos De Una Noche,Los Pasteles Verdes,spotify:track:1vcltDO3rxxq6dc4xekoCj,0,74.807,,https://i.scdn.co/image/ab67616d0000b273e3f818ab485b9d87931b8941,16 Éxitos Originales
Mil Tormentas,"Morat, Cali Y El Dandee",spotify:track:5zMCVOE672AEsKkStg8Gl3,0,143.74,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Mi Nuevo Vicio,Morat,spotify:track:2VxLWuj0ZHzSULOoQnMWPV,0,143.988,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
En Un Sólo Dia,Morat,spotify:track:2dERSaJXLaFyr513LsEymO,0,143.88,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Una Vez Más,Morat,spotify:track:5BK21pQDckwW0tM8W7IRSO,0,136.998,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Lloran las Rosas,Cristian Castro,spotify:track:7IC65DCZP5GaM20tsHRW5W,42,108.565,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273e6d27eea95a12bc3dbaf4eaf,Grandes Hits
Azul,Cristian Castro,spotify:track:4blGxRC6rFcwN9ZTrndytl,60,127.995,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273b20c318ab6c54cd3fef1bb1f,"El Romántico, El Príncipe"
Por Amarte Así,Cristian Castro,spotify:track:3sk1Pl8mAIv1GtIpea2Jwn,38,128.92,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273b20c318ab6c54cd3fef1bb1f,"El Romántico, El Príncipe"
Yo Quería,Cristian Castro,spotify:track:7yYN70n6NTdA3NCHfdbKn1,68,133.972,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273e6d27eea95a12bc3dbaf4eaf,Grandes Hits
No Me Doy Por Vencido,Luis Fonsi,spotify:track:3A332PPGLcGVIlNpwWf42t,0,172.357,"latin pop, puerto rican pop",https://i.scdn.co/image/ab67616d0000b2739698edb6f6e48b6363ec62c9,Palabras Del Silencio
Loco Por Ti,Los Temerarios,spotify:track:5t1J5V6jdC5e5Oe2PRWSFT,0,124.896,"grupera, musica mexicana, ranchera",https://i.scdn.co/image/ab67616d0000b2731bbf29f29046537afe47bac0,Si Tu Te Vas (Deluxe)
Mi Persona Favorita,Río Roma,spotify:track:70fVcEP5pRrxaIICY3DcPe,71,151.97,"latin arena pop, latin pop, latin viral pop, mexican pop",https://i.scdn.co/image/ab67616d0000b273fdc64ffdbc82d7e7559abd86,Otra Vida
Si La Ves (feat. Noel Schajris & Leonel García),"Franco De Vita, Noel Schajris, Leonel García",spotify:track:2HBo8LhUxBJBsxWaP6ePL3,58,116.117,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b2736cf6764361fb602f4bdff259,Franco De Vita En Primera Fila
Sin miedo a nada,Alex Ubago,spotify:track:39pJIXIjx9qMkH9LzScpuT,60,132.944,"latin arena pop, latin pop, spanish pop, spanish pop rock",https://i.scdn.co/image/ab67616d0000b2736b9c9cd2372b640eaeb1a761,¿Qué pides tú? (Argentina)
Gotas De Agua Dulce,Juanes,spotify:track:0Xn1VqBjoL4PAGxyatEO0Z,67,153.845,"colombian pop, latin pop, mexican pop, rock en espanol",https://i.scdn.co/image/ab67616d0000b2731a3925772178135aca2dec56,La Vida Es Un Ratico
Cuando pienses en volver,Pedro Suárez-Vértiz,spotify:track:1zFQiptWrhJVZxO5SyonLK,0,103.983,peruvian rock,https://i.scdn.co/image/ab67616d0000b273ca6dd67a0dd7c5dcda49a4bd,Pedro Suarez-Vertiz
Te Voy A Amar,Axel,spotify:track:0lAclTF9UMJEfniMYeGi9m,0,77.066,"argentine telepop, latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b27334d43af60047b60704935cc8,Un Nuevo Sol (Versión Standard)
Historia De Un Taxi,Estrellas de la Academia,spotify:track:5BX68LSLobA1OptPhY8EtG,27,147.018,,https://i.scdn.co/image/ab67616d0000b2738a40279432a8febc175a31b4,Las Grandes De Arjona
Tú de Qué Vas,Franco De Vita,spotify:track:66iygyOSvvoQQsKJ1vEXfT,78,80.11,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273e61c36e2c29c574079b7c5b9,Stop
Coleccionista de Canciones,Camila,spotify:track:28Ct4qwkQXY2W5yyNCLuVI,70,142.308,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b2737e0721f90f91d37de250788f,Todo Cambio
Cuenta Conmigo,Río Roma,spotify:track:2c5HT4YUa4CwTjtbOYSvMW,0,136.081,"latin arena pop, latin pop, latin viral pop, mexican pop",https://i.scdn.co/image/ab67616d0000b2736145b4292b0ca23904745644,Eres la Persona Correcta en el Momento Equivocado
Dime Que No,Ricardo Arjona,spotify:track:5EMGRFIidh98v9eXj6QnOU,54,142.486,"cantautor, latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273a883fc5561a8c737baeb8db8,Canciones De Amor
"Te Quiero Mucho, Mucho",Río Roma,spotify:track:3u8E9Ch4fKYScs2u0MMMfB,0,107.045,"latin arena pop, latin pop, latin viral pop, mexican pop",https://i.scdn.co/image/ab67616d0000b273b9a5f159f2da1a6cd73d10aa,"Te Quiero Mucho, Mucho"
